reporter,trq_share
UK,1.0
United Arab Emirates,1.0
KOR,1.0
ISL,1.0
"Hong Kong, China",1.0
Sri Lanka,1.0
HND,1.0
EU_readonly,1.0
Cuba,1.0
USA,1.0
Jordan,1.0
Armenia,1.0
Albania,1.0
Brunei Darussalam,0.9845428735800662
Lao PDR,0.899340249936126
US,0.8567171439700231
Egypt,0.8257384995860618
Chile,0.6783212006248411
Ecuador,0.6650271656365053
Peru,0.6629765570479395
EFTA_Rev,0.5619883911296324
EFTA,0.5326999227375934
Pakistan,0.5197384068844705
Korea,0.5103572492556757
KHM,0.5004733831101325
"Korea, Republic of",0.494045821922587
AUS,0.48983847587414847
Australia,0.46665100274371296
JPN,0.44394432873771117
Iceland,0.3730871754368644
Mexico,0.3725008036468088
US_Revision,0.3505390259860814
Malaysia,0.33385226085374664
Canada,0.3106151897644621
TPKM,0.2202259734015656
Ukraine,0.20385148357903407
Mauritius,0.19775806891722014
Thailand,0.1842783912103669
GBR,0.14144270030564
Philippines,0.12959119504839758
EURev1,0.11214653600272552
Serbia_Rev1,0.1087174629531993
United Kingdom,0.1081384591488179
Panama,0.10500486028520296
China,0.09942485592811308
EU,0.09622966810676811
MKD,0.08612868943174959
Tunisia,0.07588171319074007
Switzerland,0.07044874843020703
CHE,0.06990014265335236
VietNam,0.06548785222235264
Costa Rica,0.061867053852462994
Montenegro,0.0536997551922925
Israel,0.05029714959580654
Norway,0.04577443334145747
India,0.04019856590170452
FYROM,0.03443517328994559
SRB,0.030939034382306142
Colombia,0.030881244038964306
Nicaragua,0.026483120633908407
El Salvador,0.02085529756198562
Chinese Taipei,0.017024289933510732
ALB,0.015029738310994028
Guatemala,0.014593762671974982
Japan,0.013883385687128822
Honduras,0.013787709631862582
EEC,0.013624959510264935
Turkey,0.011934452853657287
Moldova,0.011171201289188852
MDA,0.01052250975764177
Kazakhstan,0.009898166617141466
Viet Nam,0.009187371222469574
MEX,0.007296414024126378
COL,0.006420941404545998
ISR,0.006080043440555841
Bosnia and Herzegovina,0.005831688498115916
NOR,0.005652583601581009
ARG,0.004035252707526181
CUB,0.002487049955518343
Uruguay,0.0013054874848910602
IND,0.001122732672147873
"Korea, Rep. of",0.0005873732671453283
IDN,0.0005777310204200137
Serbia,0.00048675621632750016
South Africa,0.00035596659269707836
Brazil,0.00018278633263936348
SACU,0.00017533393246586495
UKR,8.904810846642468e-11
SaudiArabia,0.0
SGP,0.0
Qatar,0.0
UnitedArabEmirates,0.0
Russian Federation,0.0
Russia,0.0
UAE,0.0
Singapore,0.0
Republic of Korea,0.0
XXK,0.0
Kenya,0.0
Paraguay,0.0
PER,0.0
Afghanistan,0.0
Argentina,0.0
Azerbaijan,0.0
BIH,0.0
Bahrain,0.0
Belarus,0.0
Bhutan,0.0
"Bolivia, Plurinational State of",0.0
CHN,0.0
CMR,0.0
Cambodia,0.0
Cameroon,0.0
Dominican Republic,0.0
European Union,0.0
Georgia,0.0
Ghana,0.0
HKG,0.0
Indonesia,0.0
Kuwait,0.0
Kyrgyz Republic,0.0
MAR,0.0
"Macao, China",0.0
Morocco,0.0
Myanmar,0.0
NZL,0.0
Namibia,0.0
Nepal,0.0
New Zealand,0.0
Oman,0.0
Zimbabwe,0.0
